	utt_1	utt_2	dialog_id	label
0		hey! do you love cats?	1	1
1	hey! do you love cats?	hey...	1	0
2	hey...	i am a dog person, i have two	1	0
3	i am a dog person, i have two	ah that is cool, i have two cats and got a collection of 1000 hats for them!	1	0
4	ah that is cool, i have two cats and got a collection of 1000 hats for them!	wow!!! that is a lot lol	1	0
5	wow!!! that is a lot lol	yeah, i have a weakness for cats and vanilla ice cream, they are the best!	1	1
6	yeah, i have a weakness for cats and vanilla ice cream, they are the best!	my weakness is eating when i am bored	1	0
7	my weakness is eating when i am bored	what is your favorite season? mine is winter!	1	1
8	what is your favorite season? mine is winter!	i am a summer girl	1	0
9	i am a summer girl	have you ever watched the olympics? i won a gold medal in 1992!	1	1
10	have you ever watched the olympics? i won a gold medal in 1992!	cool what did you win for?	1	0
11	cool what did you win for?	it was in the 100 meter dash! i got 7 seconds!	1	0
12	it was in the 100 meter dash! i got 7 seconds!	wow!! i just run on my treadmill lol	1	0
13	wow!! i just run on my treadmill lol	nothing like a good exercise!	1	0
14	nothing like a good exercise!	yes and i love the rower machine	1	0
15	yes and i love the rower machine	row row row your boat gently down the stream, when you see a crocodile...	1	0
16	row row row your boat gently down the stream, when you see a crocodile...	lol nursery r h y m e s	1	0
17	lol nursery r h y m e s	i love bunnies! i wish i would open a bunny daycare or hotel.	2	1
18	i love bunnies! i wish i would open a bunny daycare or hotel.	that is a cool idea. how are you today?	2	1
19	that is a cool idea. how are you today?	a little tired. worked all day today at the shipyard.	2	0
20	a little tired. worked all day today at the shipyard.	i just got back from school, not a big fan of it though.	2	0
21	i just got back from school, not a big fan of it though.	you should join the military. i am ex military. girls love uniforms ;	2	1
22	you should join the military. i am ex military. girls love uniforms ;	i have never considered it. maybe it would help me make some more friends.	2	0
23	i have never considered it. maybe it would help me make some more friends.	i joined the navy because i like navy blue, but infantry has sexy uniforms also.	2	0
24	i joined the navy because i like navy blue, but infantry has sexy uniforms also.	i will definitely keep the in mind if i join.	2	0
25	i will definitely keep the in mind if i join.	i donate part of my salary to my bunny rescue. you should too.	2	1
26	i donate part of my salary to my bunny rescue. you should too.	do you have any bunnies?	2	0
27	do you have any bunnies?	not anymore. i ate them all.	2	0
28	not anymore. i ate them all.	wow! you have quite the appetite.	2	0
29	wow! you have quite the appetite.	yeah, i like to eat.	2	0
30	yeah, i like to eat.	what do you do for a living?	2	1
31	what do you do for a living?	i am a receptionist at a dentist office	2	0
32	i am a receptionist at a dentist office	hi how are you tonight?	3	1
33	hi how are you tonight?	i am worn out from work today. how are you?	3	0
34	i am worn out from work today. how are you?	me too! i am trying to train for a 5k	3	0
35	me too! i am trying to train for a 5k	i used to run. i work at a convenience store.	3	1
36	i used to run. i work at a convenience store.	oh well i am in high school but i know what i want to do	3	0
37	oh well i am in high school but i know what i want to do	what do you want to do?	3	0
38	what do you want to do?	i want to be a physical therapist	3	0
39	i want to be a physical therapist	that sounds like a good job. i am the manager at the store that i work at.	3	0
40	that sounds like a good job. i am the manager at the store that i work at.	that is cool. i try to make all straight as so i can achieve my goa	3	0
41	that is cool. i try to make all straight as so i can achieve my goa	great! do you like taylor swift? i met her once.	3	1
42	great! do you like taylor swift? i met her once.	yeah she is cool. she seems nice and her songs are catchy	3	0
43	yeah she is cool. she seems nice and her songs are catchy	i have her latest album in my car. i have a nissan.	3	1
44	i have her latest album in my car. i have a nissan.	nice! hopefully i will get a car when i graduate	3	0
45	nice! hopefully i will get a car when i graduate	what kind of car do you want?	3	0
